country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-09-2026 11:00:00",28.822836,77.101981,OZONE,13,48,28
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","21-09-2026 11:00:00",28.611281,77.237738,PM2.5,70,207,123
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","21-09-2026 11:00:00",28.611281,77.237738,SO2,36,41,38
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.710508,77.249485,NH3,12,17,14
India,Delhi,Delhi,"Bawana, Delhi - DPCC","21-09-2026 11:00:00",28.7762,77.051074,NH3,7,9,8
India,Delhi,Delhi,"Bawana, Delhi - DPCC","21-09-2026 11:00:00",28.7762,77.051074,SO2,26,29,27
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","21-09-2026 11:00:00",22.1910172,83.5197009,CO,14,20,16
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","21-09-2026 11:00:00",22.1910172,83.5197009,OZONE,8,11,10
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","21-09-2026 11:00:00",21.237755,81.705301,OZONE,1,2,1
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","21-09-2026 11:00:00",21.371751,81.664929,NO2,10,30,20
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","21-09-2026 11:00:00",21.371751,81.664929,CO,17,18,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","21-09-2026 11:00:00",21.371751,81.664929,OZONE,2,5,4
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-09-2026 11:00:00",28.822836,77.101981,PM2.5,52,335,182
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-09-2026 11:00:00",28.822836,77.101981,PM10,104,350,198
India,Delhi,Delhi,"Narela, Delhi - DPCC","21-09-2026 11:00:00",28.822836,77.101981,NO2,8,53,29
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","21-09-2026 11:00:00",28.530785,77.271255,SO2,11,20,15
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","21-09-2026 11:00:00",28.530785,77.271255,CO,59,72,63
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-09-2026 11:00:00",28.732528,77.11992,NO2,0,10,5
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-09-2026 11:00:00",28.732528,77.11992,SO2,11,25,14
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-09-2026 11:00:00",28.732528,77.11992,OZONE,14,36,20
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.672342,77.31526,SO2,8,13,10
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","21-09-2026 11:00:00",28.672342,77.31526,OZONE,17,37,23
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","21-09-2026 11:00:00",28.6811736,77.3025234,PM10,95,163,113
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","21-09-2026 11:00:00",28.6811736,77.3025234,SO2,3,22,12
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","21-09-2026 11:00:00",28.531346,77.190156,PM10,NA,NA,NA
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","21-09-2026 11:00:00",28.531346,77.190156,CO,40,40,40
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-09-2026 11:00:00",28.56789,77.250515,PM2.5,83,321,203
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-09-2026 11:00:00",28.56789,77.250515,NO2,18,82,45
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","21-09-2026 11:00:00",28.56789,77.250515,NH3,6,10,8
